street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
3228,Fernwood AVE,Los Angeles,CA,United States of America,"3228, Fernwood AVE, Los Angeles, CA, United States of America",3,2,1976,23,8363,12,Y,N,2.5,45006,1424.6,2815000
8011,Vicksburg AVE,Los Angeles,CA,United States of America,"8011, Vicksburg AVE, Los Angeles, CA, United States of America",3,2,1800,82,6030,120,Y,N,2.5,44981,736.11,1325000
3951,Montclair ST,Los Angeles,CA,United States of America,"3951, Montclair ST, Los Angeles, CA, United States of America",3,2,1525,111,5099,126,Y,N,2.5,44911,616.39,940000
626 N,Gower ST,Los Angeles,CA,United States of America,"626 N, Gower ST, Los Angeles, CA, United States of America",3,2,1530,102,5646,13,Y,N,2.5,44882,882.35,1350000
4287,Don Luis DR,Los Angeles,CA,United States of America,"4287, Don Luis DR, Los Angeles, CA, United States of America",3,2,1731,70,7575,13,Y,N,2.5,44798,924.32,1600000
848,Cooper AVE,Los Angeles,CA,United States of America,"848, Cooper AVE, Los Angeles, CA, United States of America",3,2,1697,70,18865,13,Y,N,2.5,45043,951.68,1615000
2648,Merced ST,Los Angeles,CA,United States of America,"2648, Merced ST, Los Angeles, CA, United States of America",3,2,1136,107,4000,13,Y,N,2.5,44859,1117.96,1270000
2301 W,29TH PL,Los Angeles,CA,United States of America,"2301 W, 29TH PL, Los Angeles, CA, United States of America",3,2,1440,115,5403,13,Y,N,2.5,44825,704.17,1014000
1325,Angelus AVE,Los Angeles,CA,United States of America,"1325, Angelus AVE, Los Angeles, CA, United States of America",3,2,1815,101,6250,13,Y,N,2.5,44925,823.69,1495000
5223,N Maywood AVE,Los Angeles,CA,United States of America,"5223, N Maywood AVE, Los Angeles, CA, United States of America",3,2,1800,97,10758,13,Y,N,2.5,44894,888.89,1600000
6202,Springvale DR,Los Angeles,CA,United States of America,"6202, Springvale DR, Los Angeles, CA, United States of America",3,2,962,99,3432,13,Y,N,2.5,44909,1107.07,1065000
7326,Pacific View DR,Los Angeles,CA,United States of America,"7326, Pacific View DR, Los Angeles, CA, United States of America",3,2,1884,73,8196,14,Y,N,2.5,44782,870.49,1640000
3064,Motor AVE,Los Angeles,CA,United States of America,"3064, Motor AVE, Los Angeles, CA, United States of America",3,2,1595,86,6504,14,Y,N,2.5,44811,1191.22,1900000
1164,Coronado TER,Los Angeles,CA,United States of America,"1164, Coronado TER, Los Angeles, CA, United States of America",3,2,1100,68,4976,14,Y,N,2.5,44813,1227.27,1350000
4136,Don Mariano DR,Los Angeles,CA,United States of America,"4136, Don Mariano DR, Los Angeles, CA, United States of America",3,2,2203,72,7530,14,Y,N,2.5,45065,651.38,1435000
1308 N,Avenue 57,Los Angeles,CA,United States of America,"1308 N, Avenue 57, Los Angeles, CA, United States of America",3,2,1442,112,7250,14,Y,N,2.5,44811,1128.29,1627000
3113,Lake Hollywood DR,Los Angeles,CA,United States of America,"3113, Lake Hollywood DR, Los Angeles, CA, United States of America",3,2,1783,86,8966,14,Y,N,2.5,44805,911.39,1625000
2256,Parnell AVE,Los Angeles,CA,United States of America,"2256, Parnell AVE, Los Angeles, CA, United States of America",3,2,1723,92,6066,14,Y,N,2.5,45055,1178.18,2030000
2751,Laurel Canyon BLVD,Los Angeles,CA,United States of America,"2751, Laurel Canyon BLVD, Los Angeles, CA, United States of America",3,2,1700,76,5347,14,Y,N,2.5,44803,970.59,1650000
2240,Talmadge ST,Los Angeles,CA,United States of America,"2240, Talmadge ST, Los Angeles, CA, United States of America",3,2,2289,67,9516,14,Y,N,2.5,44903,753.6,1725000
1411,Wildwood DR,Los Angeles,CA,United States of America,"1411, Wildwood DR, Los Angeles, CA, United States of America",3,2,1661,59,9703,14,Y,N,2.5,44981,728.48,1210000
11937,Lawler ST,Los Angeles,CA,United States of America,"11937, Lawler ST, Los Angeles, CA, United States of America",3,2,2562,75,7029,14,Y,N,2.5,44953,1241.22,3180000
4425 W,Avenue 42,Los Angeles,CA,United States of America,"4425 W, Avenue 42, Los Angeles, CA, United States of America",3,2,1577,94,7254,14,Y,N,2.5,45002,824.35,1300000
1611 W,48th ST,Los Angeles,CA,United States of America,"1611 W, 48th ST, Los Angeles, CA, United States of America",3,2,1730,112,5615,140,Y,N,2.5,45013,398.84,690000
3871,Franklin AVE,Los Angeles,CA,United States of America,"3871, Franklin AVE, Los Angeles, CA, United States of America",3,2,2136,96,10098,15,Y,N,2.5,45051,1477.06,3155000
11706 S,Wilton PL,Los Angeles,CA,United States of America,"11706 S, Wilton PL, Los Angeles, CA, United States of America",3,2,1374,72,5194,15,Y,N,2.5,44806,582.24,800000
8437,Kirkwood DR,Los Angeles,CA,United States of America,"8437, Kirkwood DR, Los Angeles, CA, United States of America",3,2,1353,83,4983,15,Y,N,2.5,44939,1300.81,1760000
6176,Mount Angelus DR,Los Angeles,CA,United States of America,"6176, Mount Angelus DR, Los Angeles, CA, United States of America",3,2,1431,52,3444,15,Y,N,2.5,44799,1074.07,1537000
2732,Butler AVE,Los Angeles,CA,United States of America,"2732, Butler AVE, Los Angeles, CA, United States of America",3,2,1627,72,5402,15,Y,N,2.5,44970,823.6,1340000
836 S,Burnside AVE,Los Angeles,CA,United States of America,"836 S, Burnside AVE, Los Angeles, CA, United States of America",3,2,2017,95,7367,15,Y,N,2.5,45019,852.75,1720000
2165 W,SILVER LAKE DR,Los Angeles,CA,United States of America,"2165 W, SILVER LAKE DR, Los Angeles, CA, United States of America",3,2,1922,84,4800,15,Y,N,2.5,44830,1305.93,2510000
6170,Rodgerton DR,Los Angeles,CA,United States of America,"6170, Rodgerton DR, Los Angeles, CA, United States of America",3,2,1302,63,8021,16,Y,N,2.5,44837,1099.08,1431000
3926,Roderick RD,Los Angeles,CA,United States of America,"3926, Roderick RD, Los Angeles, CA, United States of America",3,2,1812,97,5610,16,Y,N,2.5,44789,662.25,1200000
9526,Hickory ST,Los Angeles,CA,United States of America,"9526, Hickory ST, Los Angeles, CA, United States of America",3,2,1056,67,5407,16,Y,N,2.5,44904,525.57,555000
3830,Broadlawn DR,Los Angeles,CA,United States of America,"3830, Broadlawn DR, Los Angeles, CA, United States of America",3,2,2014,64,7718,16,Y,N,2.5,44844,645.48,1300000
922,Farnam ST,Los Angeles,CA,United States of America,"922, Farnam ST, Los Angeles, CA, United States of America",3,2,1342,105,5678,16,Y,N,2.5,44820,1061.85,1425000
