street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
39648,June CT,Temecula,CA,United States of America,"39648, June CT, Temecula, CA, United States of America",3,2,1254,35,10019,10,N,N,2.5,44935,438.6,550000
2225 E,Center ST,Anaheim,CA,United States of America,"2225 E, Center ST, Anaheim, CA, United States of America",3,2,1397,69,6050,10,N,N,2.5,44791,486.04,679000
32861,Avenida Descanso,San Juan Capistrano,CA,United States of America,"32861, Avenida Descanso, San Juan Capistrano, CA, United States of America",3,2,1486,53,7166,10,N,N,2.5,44869,680.33,1010975
1284,Lincoln AVE,Pomona,CA,United States of America,"1284, Lincoln AVE, Pomona, CA, United States of America",3,2,1350,64,7518,10,N,N,2.5,44778,488.89,660000
19602,Westwinds LN,Huntington Beach,CA,United States of America,"19602, Westwinds LN, Huntington Beach, CA, United States of America",3,2,1412,60,6000,10,N,N,2.5,44910,743.63,1050000
6091,Camphor AVE,Westminster,CA,United States of America,"6091, Camphor AVE, Westminster, CA, United States of America",3,2,1290,68,7241,10,N,N,2.5,44792,650.39,839000
17230,Atkinson AVE,Torrance,CA,United States of America,"17230, Atkinson AVE, Torrance, CA, United States of America",3,2,1328,76,6124,10,N,N,2.5,45072,709.34,942000
11514,Culver Park DR,Culver City,CA,United States of America,"11514, Culver Park DR, Culver City, CA, United States of America",3,2,1200,72,5000,10,N,N,2.5,45009,1262.5,1515000
8271,4th ST,Buena Park,CA,United States of America,"8271, 4th ST, Buena Park, CA, United States of America",3,2,1405,69,11804,10,N,N,2.5,44957,652.14,916250
986,Forster CT,Hemet,CA,United States of America,"986, Forster CT, Hemet, CA, United States of America",3,2,1935,4,7841,10,N,N,2.5,45006,248.06,480000
2105,Ashbourne DR,San Marino,CA,United States of America,"2105, Ashbourne DR, San Marino, CA, United States of America",3,2,2276,83,10890,10,N,N,2.5,44862,768.89,1750000
5039,Clavel CT,Woodland Hills,CA,United States of America,"5039, Clavel CT, Woodland Hills, CA, United States of America",3,2,2020,60,6429,10,N,N,2.5,44823,420.79,850000
1607 W,PIRU ST,Compton,CA,United States of America,"1607 W, PIRU ST, Compton, CA, United States of America",3,2,1036,64,5062,10,N,N,2.5,44956,584.94,606000
11245,Stagg ST,Sun Valley,CA,United States of America,"11245, Stagg ST, Sun Valley, CA, United States of America",3,2,1047,69,5500,10,N,N,2.5,44904,652.82,683500
2010 W,177th ST,Torrance,CA,United States of America,"2010 W, 177th ST, Torrance, CA, United States of America",3,2,1295,70,5001,10,N,N,2.5,44956,759.07,983000
1841 W,Ash AVE,Fullerton,CA,United States of America,"1841 W, Ash AVE, Fullerton, CA, United States of America",3,2,1366,69,5775,10,N,N,2.5,44902,567.35,775000
7805,Coolgrove DR,Downey,CA,United States of America,"7805, Coolgrove DR, Downey, CA, United States of America",3,2,1301,71,5864,10,N,N,2.5,44901,568.79,740000
479,Stanford DR,Claremont,CA,United States of America,"479, Stanford DR, Claremont, CA, United States of America",3,2,1370,73,6656,10,N,N,2.5,44802,642.34,880000
29095,Alessandro BLVD,Moreno Valley,CA,United States of America,"29095, Alessandro BLVD, Moreno Valley, CA, United States of America",3,2,1305,48,15682,10,N,N,2.5,44777,398.47,520000
1234 S,San Antonio AVE,Ontario,CA,United States of America,"1234 S, San Antonio AVE, Ontario, CA, United States of America",3,2,1454,70,7500,10,N,N,2.5,44797,457.36,665000
13213,Pinney ST,Pacoima,CA,United States of America,"13213, Pinney ST, Pacoima, CA, United States of America",3,2,1150,66,3550,10,N,N,2.5,44901,521.74,600000
2706 E,Tyler ST,Carson,CA,United States of America,"2706 E, Tyler ST, Carson, CA, United States of America",3,2,1565,60,2875,10,N,N,2.5,44824,335.46,525000
15118,Carfax AVE,Bellflower,CA,United States of America,"15118, Carfax AVE, Bellflower, CA, United States of America",3,2,1515,69,5615,10,N,N,2.5,45048,495.05,750000
4405 W,Stay CT,Orange,CA,United States of America,"4405 W, Stay CT, Orange, CA, United States of America",3,2,1152,68,7644,10,N,N,2.5,44804,646.7,745000
3040,Cimarron RD,Riverside (City),CA,United States of America,"3040, Cimarron RD, Riverside (City), CA, United States of America",3,2,1194,70,9148,10,N,N,2.5,44951,494.14,590000
11902,Cedar AVE,Hawthorne,CA,United States of America,"11902, Cedar AVE, Hawthorne, CA, United States of America",3,2,1932,70,6304,10,N,N,2.5,44963,441.51,853000
44214,2nd ST  E,Lancaster,CA,United States of America,"44214, 2nd ST  E, Lancaster, CA, United States of America",3,2,1272,69,6959,10,N,N,2.5,44859,294.81,375000
20448,Gilmore ST,Winnetka,CA,United States of America,"20448, Gilmore ST, Winnetka, CA, United States of America",3,2,1246,67,7499,10,N,N,2.5,44824,537.72,670000
1950 W,Windward DR,Anaheim,CA,United States of America,"1950 W, Windward DR, Anaheim, CA, United States of America",3,2,1621,45,4936,10,N,N,2.5,44798,496.61,805000
9615,Myron ST,Pico Rivera,CA,United States of America,"9615, Myron ST, Pico Rivera, CA, United States of America",3,2,1792,69,6425,10,N,N,2.5,44824,468.75,840000
216,Monroe PL,Monrovia,CA,United States of America,"216, Monroe PL, Monrovia, CA, United States of America",3,2,2186,87,8554,10,N,N,2.5,44953,642.73,1405000
3346,Paddy LN,Baldwin Park,CA,United States of America,"3346, Paddy LN, Baldwin Park, CA, United States of America",3,2,1352,62,5000,10,N,N,2.5,44960,428.99,580000
14811,Cool Glen DR,null,CA,United States of America,"14811, Cool Glen DR, null, CA, United States of America",3,2,1641,33,9150,100,N,N,2.5,44796,198.05,325000
1104,Grass Valley RD,Lake Arrowhead,CA,United States of America,"1104, Grass Valley RD, Lake Arrowhead, CA, United States of America",3,2,1266,50,8400,100,N,N,2.5,44967,497.63,630000
9530,Keokuk AVE,Chatsworth,CA,United States of America,"9530, Keokuk AVE, Chatsworth, CA, United States of America",3,2,1368,66,7724,100,N,N,2.5,45000,610.38,835000
6742,Jellico AVE,Lake Balboa,CA,United States of America,"6742, Jellico AVE, Lake Balboa, CA, United States of America",3,2,1683,73,5904,100,N,N,2.5,44972,463.46,780000
2531,Van Wick ST,Inglewood,CA,United States of America,"2531, Van Wick ST, Inglewood, CA, United States of America",3,2,1550,70,6451,100,N,N,2.5,44952,554.19,859000
1604,Geranio DR,Alhambra,CA,United States of America,"1604, Geranio DR, Alhambra, CA, United States of America",3,2,1288,76,6699,101,N,N,2.5,45006,694.88,895000
1207,Camran AVE,Lancaster,CA,United States of America,"1207, Camran AVE, Lancaster, CA, United States of America",3,2,1632,37,7386,101,N,N,2.5,44932,227.94,372000
23391,Via San Gabriel,Aliso Viejo,CA,United States of America,"23391, Via San Gabriel, Aliso Viejo, CA, United States of America",3,2,1240,52,2000,101,N,N,2.5,44805,548.39,680000
19451,Salmon LN,Huntington Beach,CA,United States of America,"19451, Salmon LN, Huntington Beach, CA, United States of America",3,2,1616,59,6541,101,N,N,2.5,44816,643.56,1040000
825 E,37th ST,Long Beach,CA,United States of America,"825 E, 37th ST, Long Beach, CA, United States of America",3,2,1675,99,5446,101,N,N,2.5,44883,611.94,1025000
78633,Links DR,Palm Desert,CA,United States of America,"78633, Links DR, Palm Desert, CA, United States of America",3,2,1647,27,4792,102,N,N,2.5,44825,279.3,460000
4503 W,168th ST,Lawndale,CA,United States of America,"4503 W, 168th ST, Lawndale, CA, United States of America",3,2,1183,84,3502,102,N,N,2.5,44985,587.49,695000
13809,Roseton AVE,Norwalk,CA,United States of America,"13809, Roseton AVE, Norwalk, CA, United States of America",3,2,1248,73,5134,102,N,N,2.5,44981,516.83,645000
1302 E,Avenue R4,Palmdale,CA,United States of America,"1302 E, Avenue R4, Palmdale, CA, United States of America",3,2,1466,67,7070,102,N,N,2.5,44902,255.8,375000
1918 W,Ontario AVE,Corona,CA,United States of America,"1918 W, Ontario AVE, Corona, CA, United States of America",3,2,1163,55,7841,102,N,N,2.5,44806,528.8,615000
2435,Santa Ysabel AVE,Fullerton,CA,United States of America,"2435, Santa Ysabel AVE, Fullerton, CA, United States of America",3,2,1250,67,7360,102,N,N,2.5,44872,672,840000
8936,Riderwood DR,Sunland,CA,United States of America,"8936, Riderwood DR, Sunland, CA, United States of America",3,2,1415,59,7476,103,N,N,2.5,45007,549.82,778000
38857,10th ST  W,Palmdale,CA,United States of America,"38857, 10th ST  W, Palmdale, CA, United States of America",3,2,1412,70,11936,103,N,N,2.5,44854,290.37,410000
7616,Apache,Yucca Valley,CA,United States of America,"7616, Apache, Yucca Valley, CA, United States of America",3,2,1008,77,14250,103,N,N,2.5,44949,297.62,300000
7749,Paso Robles AVE,Lake Balboa,CA,United States of America,"7749, Paso Robles AVE, Lake Balboa, CA, United States of America",3,2,1265,74,7200,103,N,N,2.5,44988,581.03,735000
1817,Calico DR,Barstow,CA,United States of America,"1817, Calico DR, Barstow, CA, United States of America",3,2,1000,60,6000,104,N,N,2.5,44861,232,232000
8588,Ninth AVE,Hesperia,CA,United States of America,"8588, Ninth AVE, Hesperia, CA, United States of America",3,2,1468,42,44354,104,N,N,2.5,44816,292.92,430000
24150,Cross ST,Newhall,CA,United States of America,"24150, Cross ST, Newhall, CA, United States of America",3,2,1531,65,12092,105,N,N,2.5,44875,535.6,820000
82751,Matthau DR,Indio,CA,United States of America,"82751, Matthau DR, Indio, CA, United States of America",3,2,1618,19,5663,105,N,N,2.5,44992,262.67,425000
10341 E,Avenue R,Little Rock,CA,United States of America,"10341 E, Avenue R, Little Rock, CA, United States of America",3,2,2064,33,44083,105,N,N,2.5,45057,238.86,493000
1533,Island Avenue,Wilmington,CA,United States of America,"1533, Island Avenue, Wilmington, CA, United States of America",3,2,1680,63,5536,105,N,N,2.5,45044,416.67,700000
3740,MULLEN PL,View Park,CA,United States of America,"3740, MULLEN PL, View Park, CA, United States of America",3,2,2008,72,10101,105,N,N,2.5,44887,547.81,1100000
2149 W,York CIR,Anaheim,CA,United States of America,"2149 W, York CIR, Anaheim, CA, United States of America",3,2,1343,50,2024,106,N,N,2.5,44924,409.53,550000
3206,Justin CT,Lancaster,CA,United States of America,"3206, Justin CT, Lancaster, CA, United States of America",3,2,1431,13,6945,106,N,N,2.5,44777,279.52,400000
3842,Manchester PL,Riverside (City),CA,United States of America,"3842, Manchester PL, Riverside (City), CA, United States of America",3,2,1025,68,15246,106,N,N,2.5,44851,443.9,455000
81711,Little John LN,Indio,CA,United States of America,"81711, Little John LN, Indio, CA, United States of America",3,2,1336,51,10019,106,N,N,2.5,44999,302.4,404000
4820 W,AVENUE L10,Quartz Hill,CA,United States of America,"4820 W, AVENUE L10, Quartz Hill, CA, United States of America",3,2,1556,44,25068,107,N,N,2.5,44907,337.4,525000
11602 S,Van Ness AVE,Hawthorne,CA,United States of America,"11602 S, Van Ness AVE, Hawthorne, CA, United States of America",3,2,1192,69,5804,107,N,N,2.5,44991,612.42,730000
2812,Hackett AVE,Long Beach,CA,United States of America,"2812, Hackett AVE, Long Beach, CA, United States of America",3,2,1530,72,5267,108,N,N,2.5,44839,700.98,1072500
16306 S,Caress AVE,Compton,CA,United States of America,"16306 S, Caress AVE, Compton, CA, United States of America",3,2,1328,79,5750,108,N,N,2.5,45064,523.34,695000
11782,Emerald St,Garden Grove,CA,United States of America,"11782, Emerald St, Garden Grove, CA, United States of America",3,2,1226,63,6200,108,N,N,2.5,44845,670.47,822000
3096,Hackett AVE,Long Beach,CA,United States of America,"3096, Hackett AVE, Long Beach, CA, United States of America",3,2,1333,70,5900,109,N,N,2.5,44979,795.2,1060000
44801,Potestas dr,Temecula,CA,United States of America,"44801, Potestas dr, Temecula, CA, United States of America",3,2,1001,30,5227,109,N,N,2.5,44998,524.48,525000
21812,Kaneohe LN,Huntington Beach,CA,United States of America,"21812, Kaneohe LN, Huntington Beach, CA, United States of America",3,2,2044,58,6192,11,N,N,2.5,44875,1223.09,2500000
4832,Ben AVE,Valley Village,CA,United States of America,"4832, Ben AVE, Valley Village, CA, United States of America",3,2,1639,93,10388,11,N,N,2.5,44778,1159.24,1900000
1233 N,Myers ST,Burbank,CA,United States of America,"1233 N, Myers ST, Burbank, CA, United States of America",3,2,1312,97,7640,11,N,N,2.5,45055,998.48,1310000
12735,Lemay ST,Valley Glen,CA,United States of America,"12735, Lemay ST, Valley Glen, CA, United States of America",3,2,1408,76,5942,11,N,N,2.5,44911,596.59,840000
5823,Bevis AVE,Sherman Oaks,CA,United States of America,"5823, Bevis AVE, Sherman Oaks, CA, United States of America",3,2,1156,67,6363,11,N,N,2.5,44883,908.3,1050000
644 S,Prospero DR,Covina,CA,United States of America,"644 S, Prospero DR, Covina, CA, United States of America",3,2,1662,61,7480,11,N,N,2.5,44781,439.23,730000
17044,Horace ST,Granada Hills,CA,United States of America,"17044, Horace ST, Granada Hills, CA, United States of America",3,2,1473,70,7146,11,N,N,2.5,44914,583.16,859000
22055,Viscanio RD,Woodland Hills,CA,United States of America,"22055, Viscanio RD, Woodland Hills, CA, United States of America",3,2,1231,70,6332,11,N,N,2.5,44895,731.11,900000
1212 N,Cedar ST,Glendale,CA,United States of America,"1212 N, Cedar ST, Glendale, CA, United States of America",3,2,1573,96,6342,11,N,N,2.5,44894,923.71,1453000
347 N,Ash ST  N,Orange,CA,United States of America,"347 N, Ash ST  N, Orange, CA, United States of America",3,2,1247,64,6655,11,N,N,2.5,44893,565.36,705000
43279,Bow Canyon RD,Big Bear,CA,United States of America,"43279, Bow Canyon RD, Big Bear, CA, United States of America",3,2,1560,50,7370,11,N,N,2.5,45070,298.08,465000
436 E,237th ST,Carson,CA,United States of America,"436 E, 237th ST, Carson, CA, United States of America",3,2,1595,80,5599,11,N,N,2.5,44868,473.35,755000
7637,Calmcrest DR,Downey,CA,United States of America,"7637, Calmcrest DR, Downey, CA, United States of America",3,2,1661,70,6140,11,N,N,2.5,45063,412.4,685000
7648,Stewart and Gray RD,Downey,CA,United States of America,"7648, Stewart and Gray RD, Downey, CA, United States of America",3,2,1325,24,5459,11,N,N,2.5,44908,558.49,740000
228 W,Ellis AVE,Inglewood,CA,United States of America,"228 W, Ellis AVE, Inglewood, CA, United States of America",3,2,1872,82,8486,11,N,N,2.5,44777,721.15,1350000
18763,Sunburst ST,Northridge,CA,United States of America,"18763, Sunburst ST, Northridge, CA, United States of America",3,2,1486,71,6324,11,N,N,2.5,45058,521.53,775000
12871,Van Nuys BLVD,Pacoima,CA,United States of America,"12871, Van Nuys BLVD, Pacoima, CA, United States of America",3,2,1043,72,5661,11,N,N,2.5,44796,613.61,640000
5230,Maricopa ST,Torrance,CA,United States of America,"5230, Maricopa ST, Torrance, CA, United States of America",3,2,1861,64,6609,11,N,N,2.5,45056,691.2,1286320
18808,Kings Row AVE,Cerritos,CA,United States of America,"18808, Kings Row AVE, Cerritos, CA, United States of America",3,2,1551,56,5325,11,N,N,2.5,44869,554.48,860000
4843,Oliva AVE,Lakewood,CA,United States of America,"4843, Oliva AVE, Lakewood, CA, United States of America",3,2,1710,71,5400,11,N,N,2.5,45062,508.77,870000
4443,Woodruff AVE,Lakewood,CA,United States of America,"4443, Woodruff AVE, Lakewood, CA, United States of America",3,2,1699,73,5130,11,N,N,2.5,44783,515.01,875000
7737,Yarmouth AVE,Reseda,CA,United States of America,"7737, Yarmouth AVE, Reseda, CA, United States of America",3,2,1230,70,6206,11,N,N,2.5,45069,764.23,940000
7018,Aldea AVE,Lake Balboa,CA,United States of America,"7018, Aldea AVE, Lake Balboa, CA, United States of America",3,2,1723,67,7440,11,N,N,2.5,45068,551.36,950000
2915,Emerson WAY,Altadena,CA,United States of America,"2915, Emerson WAY, Altadena, CA, United States of America",3,2,1347,77,12426,11,N,N,2.5,44788,768.37,1035000
27455,Limones,Mission Viejo,CA,United States of America,"27455, Limones, Mission Viejo, CA, United States of America",3,2,1120,46,6000,11,N,N,2.5,44791,731.25,819000
23426,Clearpool PL,Harbor City,CA,United States of America,"23426, Clearpool PL, Harbor City, CA, United States of America",3,2,1360,54,5066,11,N,N,2.5,44785,606.62,825000
1919,Tillie CT,West Covina,CA,United States of America,"1919, Tillie CT, West Covina, CA, United States of America",3,2,1372,45,5599,11,N,N,2.5,44923,456.27,626000
5441 W,138th PL,Hawthorne,CA,United States of America,"5441 W, 138th PL, Hawthorne, CA, United States of America",3,2,1124,69,5001,11,N,N,2.5,44918,915.48,1029000
2266 W,239th ST,Torrance,CA,United States of America,"2266 W, 239th ST, Torrance, CA, United States of America",3,2,1660,51,8645,11,N,N,2.5,44874,722.89,1200000
3321,Alabama CIR,Costa Mesa,CA,United States of America,"3321, Alabama CIR, Costa Mesa, CA, United States of America",3,2,1770,54,5000,11,N,N,2.5,44953,629.94,1115000
2216 E,Mountain ST,Pasadena,CA,United States of America,"2216 E, Mountain ST, Pasadena, CA, United States of America",3,2,1413,94,7252,11,N,N,2.5,45057,885.35,1251000
17081,Tribune ST,Granada Hills,CA,United States of America,"17081, Tribune ST, Granada Hills, CA, United States of America",3,2,1440,70,7476,11,N,N,2.5,44900,555.56,800000
5133,Downey AVE,Lakewood,CA,United States of America,"5133, Downey AVE, Lakewood, CA, United States of America",3,2,1364,71,5012,11,N,N,2.5,44894,539.59,736000
3754 W,181st ST,Torrance,CA,United States of America,"3754 W, 181st ST, Torrance, CA, United States of America",3,2,1554,70,5230,11,N,N,2.5,44797,804.38,1250000
1025,Heather ST,Glendora,CA,United States of America,"1025, Heather ST, Glendora, CA, United States of America",3,2,1401,67,6083,11,N,N,2.5,44785,503.21,705000
6524,Dashwood St.,Lakewood,CA,United States of America,"6524, Dashwood St., Lakewood, CA, United States of America",3,2,1131,68,5803,11,N,N,2.5,44873,554.38,627000
1715 N,Edison BLVD,Burbank,CA,United States of America,"1715 N, Edison BLVD, Burbank, CA, United States of America",3,2,1366,82,5501,11,N,N,2.5,45058,739.39,1010000
12871,Osborne ST,Arleta,CA,United States of America,"12871, Osborne ST, Arleta, CA, United States of America",3,2,1000,73,7396,11,N,N,2.5,45050,492,492000
1709 N,Holbrook ST,Anaheim,CA,United States of America,"1709 N, Holbrook ST, Anaheim, CA, United States of America",3,2,1473,57,6142,11,N,N,2.5,44902,432.63,637257
356 W,Ofarrell ST,San Pedro,CA,United States of America,"356 W, Ofarrell ST, San Pedro, CA, United States of America",3,2,1350,100,5002,11,N,N,2.5,44816,570.37,770000
13126,Hart ST,North Hollywood,CA,United States of America,"13126, Hart ST, North Hollywood, CA, United States of America",3,2,1459,69,6306,11,N,N,2.5,45023,699.11,1020000
5629,Fallbrook AVE,Woodland Hills,CA,United States of America,"5629, Fallbrook AVE, Woodland Hills, CA, United States of America",3,2,1575,75,7823,11,N,N,2.5,44993,574.6,905000
5404 W,142nd ST,Hawthorne,CA,United States of America,"5404 W, 142nd ST, Hawthorne, CA, United States of America",3,2,1539,69,5491,11,N,N,2.5,44855,987.65,1520000
412 S,Ramona ST  S,Anaheim,CA,United States of America,"412 S, Ramona ST  S, Anaheim, CA, United States of America",3,2,1245,67,6090,11,N,N,2.5,44805,594.38,740000
19942,Caraway LN,Riverside (City),CA,United States of America,"19942, Caraway LN, Riverside (City), CA, United States of America",3,2,1255,32,4792,11,N,N,2.5,44839,458.17,575000
6227 E,Monita ST,Long Beach,CA,United States of America,"6227 E, Monita ST, Long Beach, CA, United States of America",3,2,2086,62,6633,11,N,N,2.5,44967,575.26,1200000
21828,ELKWOOD,Canoga Park,CA,United States of America,"21828, ELKWOOD, Canoga Park, CA, United States of America",3,2,1637,45,7564,11,N,N,2.5,44993,488.7,800000
15435,Wilmaglen DR,Whittier,CA,United States of America,"15435, Wilmaglen DR, Whittier, CA, United States of America",3,2,1554,64,6773,11,N,N,2.5,44986,454.95,707000
5051,Collis AVE,South Pasadena,CA,United States of America,"5051, Collis AVE, South Pasadena, CA, United States of America",3,2,1670,73,8190,11,N,N,2.5,45050,1095.81,1830000
1123,Brent AVE,South Pasadena,CA,United States of America,"1123, Brent AVE, South Pasadena, CA, United States of America",3,2,1470,116,7399,11,N,N,2.5,44958,1345.58,1978000
1441,Verd Oaks DR,Glendale,CA,United States of America,"1441, Verd Oaks DR, Glendale, CA, United States of America",3,2,2378,98,9875,11,N,N,2.5,44806,723.3,1720000
4554 E,Avenue R6,Palmdale,CA,United States of America,"4554 E, Avenue R6, Palmdale, CA, United States of America",3,2,1526,34,6983,11,N,N,2.5,44979,261.47,399000
730 N,Florence ST,Burbank,CA,United States of America,"730 N, Florence ST, Burbank, CA, United States of America",3,2,1620,82,6663,11,N,N,2.5,44974,814.81,1320000
4734,Farmdale AVE,Valley Village,CA,United States of America,"4734, Farmdale AVE, Valley Village, CA, United States of America",3,2,1842,86,6750,11,N,N,2.5,44805,770.9,1420000
416,Montana St,Monrovia,CA,United States of America,"416, Montana St, Monrovia, CA, United States of America",3,2,1318,73,6184,11,N,N,2.5,44805,644.92,850000
809 E,Oldfield ST,Lancaster,CA,United States of America,"809 E, Oldfield ST, Lancaster, CA, United States of America",3,2,1657,57,7587,11,N,N,2.5,44848,168.98,280000
11091,Brunswick WAY,North Tustin,CA,United States of America,"11091, Brunswick WAY, North Tustin, CA, United States of America",3,2,2176,60,11500,11,N,N,2.5,44979,562.04,1223000
418,Sycamore RD,Santa Monica,CA,United States of America,"418, Sycamore RD, Santa Monica, CA, United States of America",3,2,1820,103,4641,11,N,N,2.5,45048,1823.63,3319000
5701,Agnes AVE,Valley Village,CA,United States of America,"5701, Agnes AVE, Valley Village, CA, United States of America",3,2,1654,62,6239,11,N,N,2.5,44957,589.48,975000
13165,11th ST,Chino,CA,United States of America,"13165, 11th ST, Chino, CA, United States of America",3,2,1150,100,6800,11,N,N,2.5,44972,519.13,597000
4558 W,Avenue L 2,Lancaster,CA,United States of America,"4558 W, Avenue L 2, Lancaster, CA, United States of America",3,2,1313,68,24298,11,N,N,2.5,44995,357.96,470000
56827,Navajo TRL,Yucca Valley,CA,United States of America,"56827, Navajo TRL, Yucca Valley, CA, United States of America",3,2,1518,39,11340,11,N,N,2.5,44960,186.43,283000
7701,Eton AVE,Canoga Park,CA,United States of America,"7701, Eton AVE, Canoga Park, CA, United States of America",3,2,1356,66,7561,11,N,N,2.5,45009,505.16,685000
8944,Darby AVE,Northridge,CA,United States of America,"8944, Darby AVE, Northridge, CA, United States of America",3,2,1350,73,8096,11,N,N,2.5,44812,603.7,815000
21939,Jeffers LN,Saugus,CA,United States of America,"21939, Jeffers LN, Saugus, CA, United States of America",3,2,1494,36,6644,11,N,N,2.5,44819,461.85,690000
9230,Philbin AVE,Riverside (City),CA,United States of America,"9230, Philbin AVE, Riverside (City), CA, United States of America",3,2,1080,69,6534,11,N,N,2.5,44991,440.74,476000
17345,Hamlin ST,Lake Balboa,CA,United States of America,"17345, Hamlin ST, Lake Balboa, CA, United States of America",3,2,1526,73,6339,11,N,N,2.5,44960,596.33,910000
16269,Sycamore ST,Fountain Valley,CA,United States of America,"16269, Sycamore ST, Fountain Valley, CA, United States of America",3,2,1475,55,7200,11,N,N,2.5,44967,755.93,1115000
12416,Elgers ST,Cerritos,CA,United States of America,"12416, Elgers ST, Cerritos, CA, United States of America",3,2,1248,52,5008,11,N,N,2.5,45047,721.15,900000
16702,Patronella AVE,Torrance,CA,United States of America,"16702, Patronella AVE, Torrance, CA, United States of America",3,2,1304,71,5255,11,N,N,2.5,44999,743.87,970000
7758,Beck AVE,North Hollywood,CA,United States of America,"7758, Beck AVE, North Hollywood, CA, United States of America",3,2,1594,78,6668,11,N,N,2.5,44819,457.97,730000
5585,Ash ST,Jurupa Valley,CA,United States of America,"5585, Ash ST, Jurupa Valley, CA, United States of America",3,2,1505,44,29621,11,N,N,2.5,44858,423.26,637000
5729,Troost AVE,North Hollywood,CA,United States of America,"5729, Troost AVE, North Hollywood, CA, United States of America",3,2,1398,82,6750,11,N,N,2.5,45020,733.19,1025000
7232,Yucca ST,Buena Park,CA,United States of America,"7232, Yucca ST, Buena Park, CA, United States of America",3,2,1347,75,7600,11,N,N,2.5,44825,593.91,800000
1954,22nd ST,Santa Monica,CA,United States of America,"1954, 22nd ST, Santa Monica, CA, United States of America",3,2,1312,75,4492,11,N,N,2.5,44855,1524.39,2000000
52138,Dos Palmas AVE,Coachella,CA,United States of America,"52138, Dos Palmas AVE, Coachella, CA, United States of America",3,2,1092,57,6534,11,N,N,2.5,45009,298.53,326000
42713,2nd ST  E,Lancaster,CA,United States of America,"42713, 2nd ST  E, Lancaster, CA, United States of America",3,2,960,50,10242,110,N,N,2.5,45071,406.25,390000
132,S. Calle Da Gama,Anaheim Hills,CA,United States of America,"132, S. Calle Da Gama, Anaheim Hills, CA, United States of America",3,2,1400,50,6270,110,N,N,2.5,45023,600,840000
16054,Amber Valley DR,Whittier,CA,United States of America,"16054, Amber Valley DR, Whittier, CA, United States of America",3,2,1294,63,6113,110,N,N,2.5,45044,533.23,690000
29349,Bronco Ct,Winchester,CA,United States of America,"29349, Bronco Ct, Winchester, CA, United States of America",3,2,1575,3,7840,110,N,N,2.5,44949,316.83,499000
5758 W,Avenue K11,Lancaster,CA,United States of America,"5758 W, Avenue K11, Lancaster, CA, United States of America",3,2,1515,12,6609,111,N,N,2.5,44973,310.23,470000
26802,Live Oak CT,Calabasas,CA,United States of America,"26802, Live Oak CT, Calabasas, CA, United States of America",3,2,1355,35,4957,111,N,N,2.5,44945,687.08,931000
16515,Colfax LN,Victor Valley,CA,United States of America,"16515, Colfax LN, Victor Valley, CA, United States of America",3,2,1721,16,8582,111,N,N,2.5,44865,220.51,379500
37410,Whitehall LN,Palmdale,CA,United States of America,"37410, Whitehall LN, Palmdale, CA, United States of America",3,2,1412,32,8316,111,N,N,2.5,45001,290.37,410000
15005,Mesquite ST,Hesperia,CA,United States of America,"15005, Mesquite ST, Hesperia, CA, United States of America",3,2,1601,36,28600,111,N,N,2.5,45071,274.2,439000
10471,Cowan Heights DR,North Tustin,CA,United States of America,"10471, Cowan Heights DR, North Tustin, CA, United States of America",3,2,2400,59,14250,111,N,N,2.5,44887,524.58,1259000
11637,Laurel Oak RD,Victor Valley,CA,United States of America,"11637, Laurel Oak RD, Victor Valley, CA, United States of America",3,2,1268,37,18000,111,N,N,2.5,45005,287.85,365000
6233,East Monlaco,Long Beach,CA,United States of America,"6233, East Monlaco, Long Beach, CA, United States of America",3,2,1319,73,4948,111,N,N,2.5,44880,664.9,877000
52975,Avenida Ramirez,La Quinta,CA,United States of America,"52975, Avenida Ramirez, La Quinta, CA, United States of America",3,2,1200,40,5227,112,N,N,2.5,44949,312.5,375000
1341 E,52nd ST,Long Beach,CA,United States of America,"1341 E, 52nd ST, Long Beach, CA, United States of America",3,2,1543,71,6123,112,N,N,2.5,44972,437.46,675000
11025,De Garmo AVE,Pacoima,CA,United States of America,"11025, De Garmo AVE, Pacoima, CA, United States of America",3,2,1068,92,7471,112,N,N,2.5,44999,660.11,705000
2256,Rutgers,Costa Mesa,CA,United States of America,"2256, Rutgers, Costa Mesa, CA, United States of America",3,2,1450,66,6538,113,N,N,2.5,44937,634.48,920000
239,Broadway,Lake Elsinore,CA,United States of America,"239, Broadway, Lake Elsinore, CA, United States of America",3,2,1502,38,13068,113,N,N,2.5,44946,314.25,472000
18291,Fairburn ST,Hesperia,CA,United States of America,"18291, Fairburn ST, Hesperia, CA, United States of America",3,2,1720,39,18000,115,N,N,2.5,44872,228.2,392500
6384,Zelzah AVE,Encino,CA,United States of America,"6384, Zelzah AVE, Encino, CA, United States of America",3,2,1430,73,7151,115,N,N,2.5,45051,615.29,879863
42620,Cedar AVE,Big Bear,CA,United States of America,"42620, Cedar AVE, Big Bear, CA, United States of America",3,2,1408,21,5000,115,N,N,2.5,45023,486.51,685000
39408,Cardiff AVE,Murrieta,CA,United States of America,"39408, Cardiff AVE, Murrieta, CA, United States of America",3,2,2095,21,5227,116,N,N,2.5,44869,291.17,610000
