bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,commission,sale_price,population,median_family_income,price_per_sqft,county_Orange,county_Riverside,county_San Bernardino,view_Y,pool_Y
3,2.0,1783,86,8966,14,2.5,1625000.0,3862210,71505.72,911.3853056646102,0,0,0,1,0
3,2.0,1723,92,6066,14,2.5,2030000.0,3862210,71505.72,1178.1775972141613,0,0,0,1,0
3,2.0,1700,76,5347,14,2.5,1650000.0,3862210,71505.72,970.5882352941177,0,0,0,1,0
3,2.0,2289,67,9516,14,2.5,1725000.0,3862210,71505.72,753.6041939711664,0,0,0,1,0
3,2.0,1661,59,9703,14,2.5,1210000.0,3862210,71505.72,728.476821192053,0,0,0,1,0
3,2.0,2562,75,7029,14,2.5,3180000.0,3862210,71505.72,1241.2177985948479,0,0,0,1,0
3,2.0,1577,94,7254,14,2.5,1300000.0,3862210,71505.72,824.3500317057704,0,0,0,1,0
3,2.0,1730,112,5615,140,2.5,690000.0,3862210,71505.72,398.84393063583815,0,0,0,1,0
3,2.0,2136,96,10098,15,2.5,3155000.0,3862210,71505.72,1477.059925093633,0,0,0,1,0
3,2.0,1374,72,5194,15,2.5,800000.0,3862210,71505.72,582.2416302765648,0,0,0,1,0
3,2.0,1353,83,4983,15,2.5,1760000.0,3862210,71505.72,1300.8130081300812,0,0,0,1,0
3,2.0,1431,52,3444,15,2.5,1537000.0,3862210,71505.72,1074.0740740740741,0,0,0,1,0
3,2.0,1627,72,5402,15,2.5,1340000.0,3862210,71505.72,823.6017209588199,0,0,0,1,0
3,2.0,2017,95,7367,15,2.5,1720000.0,3862210,71505.72,852.7516113039167,0,0,0,1,0
3,2.0,1922,84,4800,15,2.5,2510000.0,3862210,71505.72,1305.9313215400625,0,0,0,1,0
3,2.0,1302,63,8021,16,2.5,1431000.0,3862210,71505.72,1099.078341013825,0,0,0,1,0
3,2.0,1812,97,5610,16,2.5,1200000.0,3862210,71505.72,662.2516556291391,0,0,0,1,0
3,2.0,1056,67,5407,16,2.5,555000.0,3862210,71505.72,525.5681818181819,0,0,0,1,0
3,2.0,2014,64,7718,16,2.5,1300000.0,3862210,71505.72,645.4816285998014,0,0,0,1,0
3,2.0,1342,105,5678,16,2.5,1425000.0,3862210,71505.72,1061.8479880774962,0,0,0,1,0
3,2.0,1949,88,6563,17,2.5,2431550.0,3862210,71505.72,1247.588506926629,0,0,0,1,0
3,2.0,1777,101,11081,17,2.5,1411000.0,3862210,71505.72,794.0348902644907,0,0,0,1,0
3,2.0,1519,92,5423,17,2.5,1575000.0,3862210,71505.72,1036.8663594470047,0,0,0,1,0
3,2.0,1398,64,5102,17,2.5,1250000.0,3862210,71505.72,894.134477825465,0,0,0,1,0
3,2.0,1385,74,7517,17,2.5,1500000.0,3862210,71505.72,1083.0324909747292,0,0,0,1,0
3,2.0,1348,74,5501,18,2.5,699900.0,3862210,71505.72,519.213649851632,0,0,0,1,0
3,2.0,3130,112,8512,18,2.5,1295000.0,3862210,71505.72,413.73801916932905,0,0,0,1,0
3,2.0,1591,71,12530,18,2.5,2355000.0,3862210,71505.72,1480.201131363922,0,0,0,1,0
3,2.0,1352,61,3230,18,2.5,1255000.0,3862210,71505.72,928.2544378698225,0,0,0,1,0
3,2.0,1127,73,6007,18,2.5,1240000.0,3862210,71505.72,1100.2661934338953,0,0,0,1,0
3,2.0,1233,79,5961,19,2.5,1260000.0,3862210,71505.72,1021.8978102189781,0,0,0,1,0
3,2.0,1672,87,7379,19,2.5,1381000.0,3862210,71505.72,825.9569377990431,0,0,0,1,0
3,2.0,1627,60,10085,20,2.5,1425000.0,3862210,71505.72,875.8451137062077,0,0,0,1,0
3,2.0,2609,95,9024,20,2.5,3250000.0,3862210,71505.72,1245.688003066309,0,0,0,1,0
3,2.0,1720,91,5600,20,2.5,1186500.0,3862210,71505.72,689.8255813953489,0,0,0,1,0
3,2.0,1720,47,7346,20,2.5,1019000.0,3862210,71505.72,592.4418604651163,0,0,0,1,0
3,2.0,1816,83,8449,20,2.5,1740000.0,3862210,71505.72,958.1497797356828,0,0,0,1,0
3,2.0,1716,96,6500,20,2.5,1975000.0,3862210,71505.72,1150.932400932401,0,0,0,1,0
3,2.0,1472,96,4453,20,2.5,1400000.0,3862210,71505.72,951.0869565217391,0,0,0,1,0
3,2.0,1143,76,5200,20,2.5,710000.0,3862210,71505.72,621.172353455818,0,0,0,1,0
3,2.0,1348,103,5622,202,2.5,425000.0,3862210,71505.72,315.2818991097923,0,0,0,1,0
3,2.0,1477,72,7849,21,2.5,1458000.0,3862210,71505.72,987.136086662153,0,0,0,1,0
3,2.0,850,100,4202,21,2.5,570000.0,3862210,71505.72,670.5882352941177,0,0,0,1,0
3,2.0,2194,98,4987,21,2.5,1720000.0,3862210,71505.72,783.9562443026435,0,0,0,1,0
3,2.0,1140,101,5801,21,2.5,1220000.0,3862210,71505.72,1070.1754385964912,0,0,0,1,0
3,2.0,1958,86,7399,22,2.5,2225000.0,3862210,71505.72,1136.3636363636363,0,0,0,1,0
3,2.0,1213,91,4832,22,2.5,1040000.0,3862210,71505.72,857.3784006595218,0,0,0,1,0
3,2.0,2292,104,8797,22,2.5,1295000.0,3862210,71505.72,565.0087260034904,0,0,0,1,0
